,entropy,mean_intensity,std_deviation,fractal_dimension,skewness,kurtosis,uniformity,relative_smoothness
2023-01-13 06:00:00,4.4342560268063425,121.09128093719482,79.635193224993,1.275742674173593,-0.844824061956274,-1.2521595087137427,0.09743766222163686,0.9998423400271549
2023-01-13 07:30:00,4.432158405318038,121.08071804046631,79.63798684792279,1.2704413582773408,-0.8445875893106622,-1.2525630277159723,0.09749014076805906,0.9998423510863335
2023-01-13 09:00:00,4.429249051463996,121.0823860168457,79.6363519504503,1.2766534272703145,-0.8446739703301258,-1.2524847278396747,0.09761336795418174,0.9998423446143689
2023-01-13 10:30:00,4.435356429439873,121.09253215789795,79.63654039483072,1.2770125398091288,-0.8447248168463151,-1.252063873740497,0.09743326107491157,0.999842345360372
2023-01-13 12:00:00,4.444264986130662,121.11312198638916,79.63386361036464,1.2764865184855505,-0.8449452289107642,-1.2512105349235052,0.09725006322332774,0.9998423347631705
2023-01-13 13:30:00,4.449056976732603,121.14085102081299,79.62334373518266,1.27938531898752,-0.8455894610252397,-1.2498808741472038,0.09696517659904202,0.9998422931053725
2023-01-13 15:00:00,4.450844484228204,121.16880416870117,79.61711546870234,1.2783965081281248,-0.8461452323475646,-1.2485605871214016,0.09692933334372356,0.9998422684341937
2023-01-13 16:30:00,4.442405619401802,121.19312381744385,79.60810238262994,1.2748435199215606,-0.8469118046974866,-1.2474548092985025,0.09719096196022292,0.999842232721639
2023-01-13 18:00:00,4.437206072831808,121.21467018127441,79.60282899590325,1.2769103235167987,-0.847482189288674,-1.2465817560812678,0.09726705386128742,0.9998422118212724
2023-01-13 19:30:00,4.439660848206895,121.22365760803223,79.60673100998142,1.2810869033072565,-0.847445402643145,-1.246568958381983,0.09707990090464591,0.9998422272867855
2023-01-13 21:00:00,4.446678421622337,121.2198429107666,79.61426843982629,1.2752765469491083,-0.8469571888303041,-1.2469785598644865,0.09697108803266019,0.9998422571547202
2023-01-13 22:30:00,4.454512087095762,121.2108211517334,79.6282061582878,1.2754518668716817,-0.8461600610331753,-1.2476994566878918,0.09689453877035703,0.9998423123622001
2023-01-14 00:00:00,4.460686044450479,121.18904113769531,79.64239172789925,1.272729655898879,-0.8452162615552393,-1.2490012766841685,0.09673544261931966,0.9998423685216682
